Province,District,Sector,Identifier,pop2012,pop2022,pop2022_urbM,pop2022_urbF,pop2022_rurM,pop2022_rurF,sector_household_size,nDwellings_urb,nDwellings_rur,Wood with mud,Sun dried bricks,All non durable wall materials,Cement blocks,Concrete,Stone,Timber,Burnt bricks,Roof Iron Sheets,Roof Tiles,Roof Concrete,Roof Grass
Eastern Province,Bugesera,Gashora,BugeseraGashora,"22,001","32,251","1,993","2,059","14,034","14,165",3.779459073,1072.111094,7461.120614,7.520447609,91.56653103,0.10162767,0.10162767,0,0.10162767,0,0.508138352,99.6996997,0.3003003,0,0
Eastern Province,Bugesera,Juru,BugeseraJuru,"23,673","33,753","5,680","5,976","10,763","11,334",3.966384579,2938.696379,5571.068453,1.901905717,97.19739218,0,0.200200602,0,0,0,0.500501505,99.5,0.4,0,0
Eastern Province,Bugesera,Kamabuye,BugeseraKamabuye,"20,843","24,502",,,"11,960","12,542",4.129964509,0,5932.738634,55.45545546,43.74374374,0,0.3003003,0,0,0,0.500500501,100,0,0,0
Eastern Province,Bugesera,Mareba,BugeseraMareba,"22,377","29,266","1,467","1,577","12,660","13,562",4.05263887,751.1155319,6470.351996,8.908917836,90.59068136,0,0.1001002,0,0,0,0.300300601,98.5,1.4,0,0
Eastern Province,Bugesera,Mayange,BugeseraMayange,"29,835","54,084","18,163","16,876","9,270","9,775",3.805795361,9206.748309,5004.21021,1.807221665,97.2887663,0,0.301203611,0,0,0,0.702808425,99.9,0.1,0,0
Eastern Province,Bugesera,Musenyi,BugeseraMusenyi,"29,248","40,610",,,"19,542","21,068",4.034185464,0,10066.46828,6.6132,92.8854,0.1002,0,0,0.2004,0,0.4008,77.47747748,22.52252252,0,0
Eastern Province,Bugesera,Mwogo,BugeseraMwogo,"17,598","30,171","4,563","4,624","10,239","10,745",3.844251848,2389.801804,5458.539354,2.702705411,96.69679359,0,0.1001002,0,0.1001002,0,0.300300601,99.6,0.4,0,0
Eastern Province,Bugesera,Ngeruka,BugeseraNgeruka,"30,717","37,328",,,"17,900","19,428",4.239177366,0,8805.482002,26.82682683,72.77277277,0,0,0,0.1001001,0,0.3003003,99.9,0.1,0,0
Eastern Province,Bugesera,Ntarama,BugeseraNtarama,"17,978","45,530","13,419","13,640","9,233","9,238",3.616783663,7481.509131,5107.023732,6.149292929,85.78767677,0,1.310505051,0.100808081,0.705656566,0.100808081,5.645252525,97.5,2.3,0,0
Eastern Province,Bugesera,Nyamata,BugeseraNyamata,"34,922","81,480","32,045","33,062","8,051","8,322",3.75863833,17321.96458,4356.098822,6.149193548,84.87903226,0.100806452,2.52016129,0.302419355,0.403225806,0.100806452,5.544354839,99.5,0.4,0.1,0
Eastern Province,Bugesera,Nyarugenge,BugeseraNyarugenge,"20,753","25,406","2,761","2,927","9,420","10,298",3.985171163,1427.291268,4947.842689,25.32537613,73.57372116,0,0.200200602,0,0,0,0.700702106,95.5955956,4.4044044,0,0
Eastern Province,Bugesera,Rilima,BugeseraRilima,"26,803","32,862","15,465","12,877","2,187","2,333",4.054807826,6989.727064,1114.726072,0.803222558,98.1939577,0,0.20080564,0,0,0,0.502014099,99.8,0.2,0,0
Eastern Province,Bugesera,Ruhuha,BugeseraRuhuha,"22,994","30,028","7,314","7,528","7,292","7,894",4.129919062,3593.77503,3677.06964,16.9,79,0,0.5,0,0.3,0,3.3,99.6,0.3,0,0
Eastern Province,Bugesera,Rweru,BugeseraRweru,"28,782","37,976","8,249","8,962","10,159","10,606",4.230090472,4068.707304,4908.878459,3.877471967,94.69194699,0,1.02038736,0,0.204077472,0,0.306116208,98.2,1.8,0,0
Eastern Province,Bugesera,Shyara,BugeseraShyara,"13,390","15,856",,,"7,639","8,217",3.873931102,0,4093,13.5,85.5,0,0,0,0,0,1,73.64729459,26.35270541,0,0
Northern Province,Burera,Bungwe,BureraBungwe,"14,774","16,322",,,"7,712","8,610",4.114256825,0,3967.180634,10.52102102,88.47677678,0,0,0,0.2004004,0,0.901801802,98,1.9,0,0
Northern Province,Burera,Butaro,BureraButaro,"31,520","38,013","2,921","2,959","15,431","16,702",4.321072534,1360.77327,7436.34821,44.53386935,52.45768844,0,0,0,0.100301508,0,2.708140704,93.89389389,6.10610611,0,0
Northern Province,Burera,Cyanika,BureraCyanika,"37,618","44,510","4,271","4,610","17,091","18,538",4.340203165,2046.217576,8209.062721,75.04994995,14.82962963,0.2004004,0,0,8.917817818,0,1.102202202,99.7,0.2,0,0
Northern Province,Burera,Cyeru,BureraCyeru,"12,783","14,719",,,"7,020","7,699",4.131778589,0,3562.388371,2.505015045,93.98816449,0,0,0,0.601203611,0,2.805616851,68,31.9,0,0
Northern Province,Burera,Gahunga,BureraGahunga,"25,637","28,059","2,728","3,122","10,554","11,655",4.211966326,1388.899993,5272.834178,79.45891784,16.73346693,1.002004008,0,0,1.102204409,0,1.703406814,99.498998,0.501002,0,0
Northern Province,Burera,Gatebe,BureraGatebe,"16,556","18,867",804,876,"8,096","9,091",4.034652406,416.3927473,4259.846517,2.1,97.2,0,0,0,0.2,0,0.3,94.7,5.3,0,0
Northern Province,Burera,Gitovu,BureraGitovu,"10,390","11,531",,,"5,516","6,015",4.19047619,0,2751.715909,4.127966976,94.73684211,0,0,0,0.206398349,0,0.92879257,70.04008016,29.95991984,0,0
Northern Province,Burera,Kagogo,BureraKagogo,"19,281","23,089","1,106","1,250","9,978","10,755",4.358979206,540.4935166,4756.388829,43.03153611,50.8646999,0,0,0,5.493387589,0,0.610376399,99.09819639,0.90180361,0,0
Northern Province,Burera,Kinoni,BureraKinoni,"17,523","19,017","4,479","4,973","4,614","4,951",4.071781646,2321.342553,2349.094532,27.58602273,67.31897727,0,0,0,1.702840909,0,3.292159091,87.48748749,12.51251251,0,0
Northern Province,Burera,Kinyababa,BureraKinyababa,"20,802","23,746",,,"11,281","12,465",4.34476435,0,5465.428752,56.1817801,42.87005236,0,0,0,0.104816754,0,0.943350785,98.8988989,1.1011011,0,0
